industry,series_id,date,openings_thousands,avg_hourly_earnings,year,month,log_openings,log_wage,post_chatgpt,residual,fitted
Leisure and Hospitality,JTS700000000000000JOL,2012-01-01,453,13.34,2012,1,6.115892125483034,2.590767040487478,False,-0.2677132741406467,6.383605399623681
Leisure and Hospitality,JTS700000000000000JOL,2012-02-01,379,13.34,2012,2,5.937536205082426,2.590767040487478,False,-0.4460691945412547,6.383605399623681
Leisure and Hospitality,JTS700000000000000JOL,2012-03-01,447,13.35,2012,3,6.102558594613569,2.5915163848462583,False,-0.2823972745263372,6.384955869139906
Leisure and Hospitality,JTS700000000000000JOL,2012-04-01,481,13.37,2012,4,6.175867270105761,2.5930133911138515,False,-0.2117865059527686,6.38765377605853
Leisure and Hospitality,JTS700000000000000JOL,2012-05-01,458,13.33,2012,5,6.126869184114185,2.5900171341906173,False,-0.25538473326762645,6.382253917381812
Leisure and Hospitality,JTS700000000000000JOL,2012-06-01,483,13.39,2012,6,6.180016653652572,2.594508159703081,False,-0.21033099657730858,6.390347650229881
Leisure and Hospitality,JTS700000000000000JOL,2012-07-01,489,13.4,2012,7,6.192362489474872,2.5952547069568657,False,-0.19933058932445924,6.391693078799332
Leisure and Hospitality,JTS700000000000000JOL,2012-08-01,423,13.38,2012,8,6.0473721790462776,2.5937610547000824,False,-0.34162903743769313,6.389001216483971
Leisure and Hospitality,JTS700000000000000JOL,2012-09-01,422,13.4,2012,9,6.045005314036012,2.5952547069568657,False,-0.34668776476331953,6.391693078799332
Leisure and Hospitality,JTS700000000000000JOL,2012-10-01,483,13.37,2012,10,6.180016653652572,2.5930133911138515,False,-0.20763712240595744,6.38765377605853
Leisure and Hospitality,JTS700000000000000JOL,2012-11-01,499,13.41,2012,11,6.212606095751519,2.596000697293587,False,-0.18043140794050228,6.393037503692021
Leisure and Hospitality,JTS700000000000000JOL,2012-12-01,481,13.39,2012,12,6.175867270105761,2.594508159703081,False,-0.21448038012411974,6.390347650229881
Leisure and Hospitality,JTS700000000000000JOL,2013-01-01,470,13.4,2013,1,6.152732694704104,2.5952547069568657,False,-0.23896038409522724,6.391693078799332
Leisure and Hospitality,JTS700000000000000JOL,2013-02-01,520,13.41,2013,2,6.253828811575473,2.596000697293587,False,-0.13920869211654807,6.393037503692021
Leisure and Hospitality,JTS700000000000000JOL,2013-03-01,514,13.43,2013,3,6.2422232654551655,2.5974910105351463,False,-0.15350008297402074,6.395723348429186
Leisure and Hospitality,JTS700000000000000JOL,2013-04-01,478,13.44,2013,4,6.169610732491456,2.598235335095004,False,-0.22745403876488268,6.397064771256339
Leisure and Hospitality,JTS700000000000000JOL,2013-05-01,469,13.46,2013,5,6.150602768446279,2.599722324216582,False,-0.2491418568132575,6.399744625259537
Leisure and Hospitality,JTS700000000000000JOL,2013-06-01,489,13.47,2013,6,6.192362489474872,2.6004649904222727,False,-0.2087205699234751,6.401083059398347
Leisure and Hospitality,JTS700000000000000JOL,2013-07-01,503,13.51,2013,7,6.220590170099739,2.6034301519721077,False,-0.18583670784720763,6.406426877946947
Leisure and Hospitality,JTS700000000000000JOL,2013-08-01,523,13.53,2013,8,6.259581464064923,2.604909442182697,False,-0.14951139289640292,6.409092856961326
Leisure and Hospitality,JTS700000000000000JOL,2013-09-01,550,13.55,2013,9,6.309918278226516,2.60638654732571,False,-0.10183661981716075,6.411754898043677
Leisure and Hospitality,JTS700000000000000JOL,2013-10-01,540,13.57,2013,10,6.29156913955832,2.6078614738467776,False,-0.12284387325200097,6.414413012810321
Leisure and Hospitality,JTS700000000000000JOL,2013-11-01,543,13.6,2013,11,6.297109319933935,2.6100697927420065,False,-0.12128352846888557,6.418392848402821
Leisure and Hospitality,JTS700000000000000JOL,2013-12-01,585,13.66,2013,12,6.371611847231857,2.614471854142644,False,-0.05471440276458406,6.426326249996441
Leisure and Hospitality,JTS700000000000000JOL,2014-01-01,596,13.69,2014,1,6.39024066706535,2.6166656393003573,False,-0.040039225800255984,6.430279892865606
Leisure and Hospitality,JTS700000000000000JOL,2014-02-01,558,13.73,2014,2,6.324358962381311,2.61958321977988,False,-0.1111789983573157,6.4355379607386265
Leisure and Hospitality,JTS700000000000000JOL,2014-03-01,571,13.75,2014,3,6.3473892096560105,2.6210388241125804,False,-0.09077204337268885,6.438161253028699
Leisure and Hospitality,JTS700000000000000JOL,2014-04-01,662,13.76,2014,4,6.495265555937008,2.6217658325051976,False,0.055794087303471684,6.439471468633537
Leisure and Hospitality,JTS700000000000000JOL,2014-05-01,710,13.83,2014,5,6.565264970035361,2.626840145676667,False,0.11664856666846823,6.448616403366893
Leisure and Hospitality,JTS700000000000000JOL,2014-06-01,674,13.9,2014,6,6.513230110912307,2.631888840136646,False,0.05551494289195169,6.457715168020355
Leisure and Hospitality,JTS700000000000000JOL,2014-07-01,630,13.93,2014,7,6.4457198193855785,2.6340447877917144,False,-0.0158808007004847,6.461600620086063
Leisure and Hospitality,JTS700000000000000JOL,2014-08-01,705,13.98,2014,8,6.558197802812269,2.637627736805664,False,0.09013998669231871,6.46805781611995
Leisure and Hospitality,JTS700000000000000JOL,2014-09-01,708,14.03,2014,9,6.56244409369372,2.6411978941143697,False,0.08795213477006936,6.47449195892365
Leisure and Hospitality,JTS700000000000000JOL,2014-10-01,671,14.08,2014,10,6.508769136971682,2.644755350729896,False,0.02786592445244107,6.480903212519241
Leisure and Hospitality,JTS700000000000000JOL,2014-11-01,631,14.11,2014,11,6.447305862541213,2.646883765864722,False,-0.03743318289486641,6.484739045436079
Leisure and Hospitality,JTS700000000000000JOL,2014-12-01,707,14.13,2014,12,6.561030665896573,2.6483001966964363,False,0.07373892671207383,6.487291739184499
Leisure and Hospitality,JTS700000000000000JOL,2015-01-01,802,14.15,2015,1,6.687108607866515,2.649714624089247,False,0.19726778553416047,6.489840822332354
Leisure and Hospitality,JTS700000000000000JOL,2015-02-01,750,14.17,2015,2,6.620073206530356,2.6511270537025893,False,0.12768690145127248,6.4923863050790835
Leisure and Hospitality,JTS700000000000000JOL,2015-03-01,719,14.22,2015,3,6.577861357721047,2.6546494243750947,False,0.07912703098499119,6.498734326736056
Leisure and Hospitality,JTS700000000000000JOL,2015-04-01,720,14.26,2015,4,6.579251212010101,2.65745841498615,False,0.0754545182232409,6.50379669378686
Leisure and Hospitality,JTS700000000000000JOL,2015-05-01,703,14.3,2015,5,6.555356891810665,2.660259537265861,False,0.04651201129143434,6.508844880519231
Leisure and Hospitality,JTS700000000000000JOL,2015-06-01,666,14.3,2015,6,6.501289670540389,2.660259537265861,False,-0.007555209978841404,6.508844880519231
Leisure and Hospitality,JTS700000000000000JOL,2015-07-01,761,14.31,2015,7,6.634633357861686,2.66095859356836,False,0.12452863703594019,6.510104720825746
Leisure and Hospitality,JTS700000000000000JOL,2015-08-01,695,14.34,2015,8,6.543911845564792,2.663052835171474,False,0.030032879411808544,6.5138789661529835
Leisure and Hospitality,JTS700000000000000JOL,2015-09-01,705,14.38,2015,9,6.558197802812269,2.665838352292901,False,0.039298773566348366,6.518899029245921
Leisure and Hospitality,JTS700000000000000JOL,2015-10-01,785,14.43,2015,10,6.665683717782408,2.6693093727857797,False,0.14052921024949772,6.5251545075329105
Leisure and Hospitality,JTS700000000000000JOL,2015-11-01,764,14.46,2015,11,6.638567789166521,2.671386216730619,False,0.10967039039195292,6.528897398774568
Leisure and Hospitality,JTS700000000000000JOL,2015-12-01,747,14.52,2015,12,6.616065185132817,2.67552700939665,False,0.07970524366614118,6.536359941466676
Leisure and Hospitality,JTS700000000000000JOL,2016-01-01,759,14.59,2016,1,6.63200177739563,2.6803363625346943,False,0.08697441256132254,6.545027364834308
Leisure and Hospitality,JTS700000000000000JOL,2016-02-01,758,14.63,2016,2,6.630683385642372,2.683074215032033,False,0.08072185897144468,6.549961526670927
Leisure and Hospitality,JTS700000000000000JOL,2016-03-01,827,14.67,2016,3,6.717804695023691,2.6858045921548905,False,0.16292247864713616,6.554882216376555
Leisure and Hospitality,JTS700000000000000JOL,2016-04-01,763,14.74,2016,4,6.637258031284457,2.6905648867611904,False,0.07379680489903429,6.563461226385423
Leisure and Hospitality,JTS700000000000000JOL,2016-05-01,743,14.79,2016,5,6.610696044717759,2.6939512767227085,False,0.04113186131464808,6.569564183403111
Leisure and Hospitality,JTS700000000000000JOL,2016-06-01,794,14.86,2016,6,6.677083461247136,2.698673039289613,False,0.09900971033377814,6.578073750913358
Leisure and Hospitality,JTS700000000000000JOL,2016-07-01,757,14.92,2016,7,6.6293632534374485,2.702702594775615,False,0.044027431643026915,6.585335821794422
Leisure and Hospitality,JTS700000000000000JOL,2016-08-01,803,14.98,2016,8,6.688354713946762,2.7067159780890733,False,0.09578596678465168,6.59256874716211
Leisure and Hospitality,JTS700000000000000JOL,2016-09-01,739,15.02,2016,9,6.6052979209482015,2.7093826463359885,False,0.007923300311299286,6.597374620636902
Leisure and Hospitality,JTS700000000000000JOL,2016-10-01,760,15.08,2016,10,6.633318433280377,2.71336936257981,False,0.02875894670828938,6.604559486572088
Leisure and Hospitality,JTS700000000000000JOL,2016-11-01,765,15.12,2016,11,6.639875833826536,2.716018370751387,False,0.030542300793656274,6.6093335330328795
Leisure and Hospitality,JTS700000000000000JOL,2016-12-01,748,15.16,2016,12,6.617402977974478,2.7186603802142257,False,0.003308011564087998,6.61409496641039
Leisure and Hospitality,JTS700000000000000JOL,2017-01-01,724,15.22,2017,1,6.584791392385716,2.72261035243354,False,-0.03642221982432581,6.621213612210042
Leisure and Hospitality,JTS700000000000000JOL,2017-02-01,898,15.28,2017,2,6.8001700683022,2.7265447837383743,False,0.17186581815166324,6.628304250150537
Leisure and Hospitality,JTS700000000000000JOL,2017-03-01,749,15.36,2017,3,6.618738983517219,2.731766727719526,False,-0.018976261831126884,6.637715245348346
Leisure and Hospitality,JTS700000000000000JOL,2017-04-01,843,15.4,2017,4,6.736966958001855,2.734367509419584,False,0.0945645800113093,6.642402377990546
Leisure and Hospitality,JTS700000000000000JOL,2017-05-01,843,15.5,2017,5,6.736966958001855,2.740840023925201,False,0.08289980475711989,6.6540671532447355
Leisure and Hospitality,JTS700000000000000JOL,2017-06-01,854,15.47,2017,6,6.74993119378857,2.738902664584975,False,0.09935555242391292,6.650575641364657
Leisure and Hospitality,JTS700000000000000JOL,2017-07-01,861,15.49,2017,7,6.7580945044277305,2.740194654428777,False,0.10519043704787112,6.652904067379859
Leisure and Hospitality,JTS700000000000000JOL,2017-08-01,909,15.54,2017,8,6.812345094177479,2.7434173449395014,False,0.15363308917325647,6.658712005004222
Leisure and Hospitality,JTS700000000000000JOL,2017-09-01,790,15.59,2017,9,6.672032945461067,2.746629683069685,False,0.007531659908066146,6.664501285553001
Leisure and Hospitality,JTS700000000000000JOL,2017-10-01,796,15.57,2017,10,6.679599185844383,2.745345985845907,False,0.017411381334460074,6.662187804509923
Leisure and Hospitality,JTS700000000000000JOL,2017-11-01,877,15.63,2017,11,6.776506992372183,2.749192144433385,False,0.10738763514407434,6.669119357228109
Leisure and Hospitality,JTS700000000000000JOL,2017-12-01,884,15.71,2017,12,6.784457062637643,2.75429745226753,False,0.10613691204907472,6.6783201505885685
Leisure and Hospitality,JTS700000000000000JOL,2018-01-01,931,15.76,2018,1,6.836259277277067,2.757475084429733,False,0.1522123932867565,6.684046883990311
Leisure and Hospitality,JTS700000000000000JOL,2018-02-01,901,15.74,2018,2,6.803505257608338,2.756205242989257,False,0.12174688374786058,6.681758373860477
Leisure and Hospitality,JTS700000000000000JOL,2018-03-01,928,15.84,2018,3,6.833031732786201,2.76253838638628,False,0.13985975849041932,6.693171974295781
Leisure and Hospitality,JTS700000000000000JOL,2018-04-01,968,15.88,2018,4,6.875232087276577,2.7650604558189897,False,0.17751483570370308,6.697717251572874
